event_id,project_id,event_date,date_precision,event_type,voltage_kv,supply_mw,interim_or_permanent,grid_operator,infrastructure_name,contractor,source_url,fact_type,notes
EVT-JHR-001,DC-JHR-001,2022-10,MONTH,ESA_SIGNED,,,PERMANENT,TNB,,,https://www.tnb.com.my/announcements/tnb-gds-collaboration-signals-positive-growth-in-foreign-investment-for-dcm,VERIFIED,"TNB states ESA was sealed in October 2022."
EVT-JHR-002,DC-JHR-001,2023-07,MONTH,INTERIM_SUPPLY_TARGET,,16,INTERIM,TNB,,,https://www.tnb.com.my/announcements/tnb-gds-collaboration-signals-positive-growth-in-foreign-investment-for-dcm,VERIFIED,"TNB stated interim 16MW supply to enable operations in July 2023."
EVT-JHR-003,DC-JHR-001,2023,YEAR,MAXIMUM_DEMAND_PLAN,,85.5,PLANNED,TNB,,,https://www.tnb.com.my/announcements/tnb-gds-collaboration-signals-positive-growth-in-foreign-investment-for-dcm,VERIFIED,"TNB stated plans to increase maximum demand to 85.5MW within 2023; do not interpret this source as proof of delivery."
EVT-JHR-004,DC-JHR-002,2023-08,MONTH,ESA_OR_POWER_PARTNERSHIP,275,300,PERMANENT,TNB,Campus 275kV high-voltage substation,,https://www.yondrgroup.com/newsroom/press-release/yondr-group-powers-up-its-first-data-center-campus-in-malaysia-within-two-years-of-market-entry/,VERIFIED,"Yondr states strategic partnership with TNB was secured in August 2023 and enabled 300MW+ IT load via a 275kV substation."
EVT-JHR-005,DC-JHR-002,2024-03,MONTH,SUBSTATION_ENERGISED,275,300,PERMANENT,TNB,Campus 275kV high-voltage substation,,https://www.yondrgroup.com/newsroom/press-release/yondr-group-powers-up-its-first-data-center-campus-in-malaysia-within-two-years-of-market-entry/,VERIFIED,"Yondr announced energisation of the campus 275kV substation in March 2024."
EVT-JHR-006,DC-JHR-002,2025-06-05,DAY,FIRST_IT_HANDOVER,,25,PHASE,Yondr,,,"https://www.yondrgroup.com/newsroom/press-release/yondr-group-achieves-first-completion-milestone-six-months-ahead-of-schedule-at-98mw-johor-data-center/",VERIFIED,"First 25MW IT handed to client; 98MW IT building is part of 300MW campus."
EVT-JHR-007,DC-JHR-003,2024-07-25,DAY,GROUNDBREAKING,,64,PHASE,,,,"https://tm.com.my/news/tm_and_singtel_nxera_break_ground_for_sustainable_hyper_connected_data_centre_campus_in_johor",VERIFIED,"Groundbreaking announcement described initial campus phase as 64MW."
EVT-JHR-008,DC-JHR-003,2026-01-09,DAY,ELECTRICITY_SUPPLY_AGREEMENT,,280,PERMANENT,TNB,,,https://www.tmnxera.com/news-insights/latest-from-tm-nxera/tm-nxera-secures-280mw-to-power-ai-ready-green-data-centre-campus-in-johor,VERIFIED,"Multi-year TNB electricity supply agreement secures 280MW."
EVT-JHR-009,DC-JHR-003,2026-04-16,DAY,TOPPING_OUT,,280,CONSTRUCTION,TNB,,,https://tm.com.my/news/nxera_topping_out_ceremony,VERIFIED,"First building topped out; TM reiterated the earlier 280MW supply agreement."
EVT-JHR-025,DC-JHR-003,2024-06-15,DAY,LAND_ACQUISITION_SPA,,,PLANNING,,,,https://www.singtel.com/content/dam/singtel/investorRelations/stockExchange/2024/Ann_20240618.pdf,VERIFIED,"Singtel's 18 June 2024 disclosure verifies that ST Dynamo DC Sdn Bhd and River Retreat Sdn Bhd entered a conditional SPA on 15 June 2024 for approximately 168,959 square metres. The executed SPA constituted binding site commitment; completion and title transfer remained subject to conditions precedent. Khazanah's later audited financial statements retrospectively identify the land as PTD 213429."
