milestone_id,pathway_id,milestone_type,milestone_status,milestone_date,date_precision,power_mw,power_measure_type,power_mw_qualifier,delivery_party,connection_event_id,fact_type,source_url,source_date,notes
PPM-JHR-001-001,PP-JHR-001,ESA,SIGNED,2022-10,MONTH,,NOT_FOUND,NOT_FOUND,TNB,EVT-JHR-001,VERIFIED,https://www.tnb.com.my/announcements/tnb-gds-collaboration-signals-positive-growth-in-foreign-investment-for-dcm,,"TNB states that the GDS ESA was sealed in October 2022."
PPM-JHR-001-002,PP-JHR-001,INTERIM_POWER,TARGETED,2023-07,MONTH,16,ELECTRICAL_SUPPLY,EXACT,TNB,EVT-JHR-002,VERIFIED,https://www.tnb.com.my/announcements/tnb-gds-collaboration-signals-positive-growth-in-foreign-investment-for-dcm,,"Interim 16 MW supply was targeted to enable operations in July 2023; this is not recorded as confirmed delivery."
PPM-JHR-001-003,PP-JHR-001,MAXIMUM_DEMAND,PLANNED,2023,YEAR,85.5,MAXIMUM_DEMAND,EXACT,TNB,EVT-JHR-003,VERIFIED,https://www.tnb.com.my/announcements/tnb-gds-collaboration-signals-positive-growth-in-foreign-investment-for-dcm,,"TNB stated a plan to increase maximum demand to 85.5 MW within 2023; this is not recorded as confirmed delivery."
PPM-JHR-002-001,PP-JHR-002,POWER_PARTNERSHIP,SECURED,2023-08,MONTH,,NOT_FOUND,NOT_FOUND,TNB,EVT-JHR-004,VERIFIED,https://www.yondrgroup.com/newsroom/press-release/yondr-group-powers-up-its-first-data-center-campus-in-malaysia-within-two-years-of-market-entry/,,"The TNB power partnership was secured in August 2023. The source's 300 MW+ figure is IT load and is not entered as power MW."
PPM-JHR-002-002,PP-JHR-002,SUBSTATION_ENERGISATION,ENERGISED,2024-03,MONTH,,NOT_FOUND,NOT_FOUND,TNB,EVT-JHR-005,VERIFIED,https://www.yondrgroup.com/newsroom/press-release/yondr-group-powers-up-its-first-data-center-campus-in-malaysia-within-two-years-of-market-entry/,,"Yondr announced energisation of the campus 275 kV substation in March 2024; this does not independently prove whole-campus supply energisation."
PPM-JHR-003-001,PP-JHR-003,ELECTRICITY_SUPPLY_AGREEMENT,AGREED,2026-01-09,DAY,280,ELECTRICAL_SUPPLY,EXACT,TNB,EVT-JHR-008,VERIFIED,https://www.tmnxera.com/news-insights/latest-from-tm-nxera/tm-nxera-secures-280mw-to-power-ai-ready-green-data-centre-campus-in-johor,2026-01-09,"The multi-year TNB electricity-supply agreement secures 280 MW of electrical supply."
PPM-JHR-003-002,PP-JHR-003,LAND_ACQUISITION_SPA,SIGNED,2024-06-15,DAY,,NOT_FOUND,NOT_FOUND,,EVT-JHR-025,VERIFIED,https://www.singtel.com/content/dam/singtel/investorRelations/stockExchange/2024/Ann_20240618.pdf,2024-06-18,"Singtel verifies the conditional SPA between River Retreat Sdn Bhd and ST Dynamo DC Sdn Bhd and its 15 June 2024 execution date. The executed SPA constituted binding site commitment; completion and title transfer remained subject to conditions precedent. Khazanah's later audited financial statements retrospectively link the land to PTD 213429."
PPM-JHR-004-001,PP-JHR-004,LAND_ACQUISITION_AGREEMENT,ANNOUNCED,2023-05-22,DAY,,NOT_FOUND,NOT_FOUND,,EVT-JHR-010,VERIFIED,https://princetondg.com/newsroom/princeton-digital-group-acquires-land-from-jland-group-to-develop-a-150mw-data-centre-campus-in-malaysia/,2023-05-22,"This is the approved ex-ante prediction boundary. The 150 MW announcement describes data-centre capacity and is not placed in power_mw."
PPM-JHR-004-002,PP-JHR-004,ESA,SIGNED,2023-10-16,DAY,,NOT_FOUND,NOT_FOUND,TNB,EVT-JHR-011,VERIFIED,https://princetondg.com/newsroom/princeton-digital-group-commences-superstructure-construction-of-150-mw-jh1-campus-2/,2023-10-16,"PDG disclosed an ESA to power JH1 Phase One from the first half of 2024. No electrical-supply MW is stated."
PPM-JHR-004-003,PP-JHR-004,UTILITY_SUPPLY_COMMISSIONING,COMMISSIONED,2024-03,MONTH,,NOT_FOUND,NOT_FOUND,TNB,EVT-JHR-012,VERIFIED,https://www.tnb.com.my/assets/quarterly_results/Analyst_Briefing_1QFY2024.pdf,,"TNB verifies commissioning at 132 kV supply in March 2024. Voltage is recorded on the linked component/event; no supply MW is inferred."
